"DXXPT6X.Code.or.Value","DXXPT6X.Value.Description","DXXPT6X.Count","DXXPT6X.Cumulative","DXXPT6X.Skip.to.Item"
"562.9 to 1141.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
