"DR1IKCAL.Code.or.Value","DR1IKCAL.Value.Description","DR1IKCAL.Count","DR1IKCAL.Cumulative","DR1IKCAL.Skip.to.Item"
"0 to 5662","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
