"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1191,1191,NA
"1","Below lower detection limit",1395,2586,NA
".","Missing",169,2755,NA
