"LBXNFOS.Code.or.Value","LBXNFOS.Value.Description","LBXNFOS.Count","LBXNFOS.Cumulative","LBXNFOS.Skip.to.Item"
"0.07 to 109.9","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
