"URDBMALC.Code.or.Value","URDBMALC.Value.Description","URDBMALC.Count","URDBMALC.Cumulative","URDBMALC.Skip.to.Item"
"0","At or above the detection limit",2593,2593,NA
"1","Below lower detection limit",29,2622,NA
".","Missing",133,2755,NA
