"AUXRR164.Code.or.Value","AUXRR164.Value.Description","AUXRR164.Count","AUXRR164.Cumulative","AUXRR164.Skip.to.Item"
"-11 to 73","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
