"OHARNF.Code.or.Value","OHARNF.Value.Description","OHARNF.Count","OHARNF.Cumulative","OHARNF.Skip.to.Item"
"1","Yes",5394,5394,NA
"2","No",21,5415,NA
".","Missing",2951,8366,NA
