"URXPMA.Code.or.Value","URXPMA.Value.Description","URXPMA.Count","URXPMA.Cumulative","URXPMA.Skip.to.Item"
"0.424 to 28.3","Range of Values",2434,2434,NA
".","Missing",171,2605,NA
