"URDMBPLC.Code.or.Value","URDMBPLC.Value.Description","URDMBPLC.Count","URDMBPLC.Cumulative","URDMBPLC.Skip.to.Item"
"0","At or above the detection limit",2593,2593,NA
"1","Below lower detection limit",12,2605,NA
".","Missing",92,2697,NA
