"VTQ270A.Code.or.Value","VTQ270A.Value.Description","VTQ270A.Count","VTQ270A.Cumulative","VTQ270A.Skip.to.Item"
"1","Yes",2662,2662,""
"2","No",455,3117,"VTQ280a"
"7","Refused",0,3117,"VTQ280a"
"9","Don't know",1,3118,"VTQ280a"
".","Missing",297,3415,""
