"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 40","Range of Values",682,682,NA
"0","None",9,691,NA
"7777","Refused",0,691,NA
"9999","Don't know",3,694,NA
".","Missing",8203,8897,NA
