"URXAAC.Code.or.Value","URXAAC.Value.Description","URXAAC.Count","URXAAC.Cumulative","URXAAC.Skip.to.Item"
"0.44 to 1200","Range of Values",2568,2568,NA
".","Missing",187,2755,NA
