"LB2SALSI.Code.or.Value","LB2SALSI.Value.Description","LB2SALSI.Count","LB2SALSI.Cumulative","LB2SALSI.Skip.to.Item"
"27 to 52","Range of Values",544,544,NA
".","Missing",2,546,NA
