"DSQIMFAT.Code.or.Value","DSQIMFAT.Value.Description","DSQIMFAT.Count","DSQIMFAT.Cumulative","DSQIMFAT.Skip.to.Item"
"0.025 to 6","Range of Values",81,81,NA
".","Missing",8188,8269,NA
