"WBXA085.Code.or.Value","WBXA085.Value.Description","WBXA085.Count","WBXA085.Cumulative","WBXA085.Skip.to.Item"
"-0.7013 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
