"URXTTC.Code.or.Value","URXTTC.Value.Description","URXTTC.Count","URXTTC.Cumulative","URXTTC.Skip.to.Item"
"7.9 to 2320","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
