"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 2.6","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
