"PAXHAND.Code.or.Value","PAXHAND.Value.Description","PAXHAND.Count","PAXHAND.Cumulative","PAXHAND.Skip.to.Item"
"1","Yes (non-dominant hand)",7707,7707,NA
"2","No (dominant hand)",68,7775,NA
"9","Unknown",1,7776,NA
"< blank >","Missing",1137,8913,NA
