"DSXDF1LD.Code.or.Value","DSXDF1LD.Value.Description","DSXDF1LD.Count","DSXDF1LD.Cumulative","DSXDF1LD.Skip.to.Item"
"0.6 to 0.6","Range of Values",2977,2977,NA
".","Missing",6463,9440,NA
