"ORXH39.Code.or.Value","ORXH39.Value.Description","ORXH39.Count","ORXH39.Cumulative","ORXH39.Skip.to.Item"
"1","Positive",16,16,NA
"2","Negative",4831,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
