"DR1TB12A.Code.or.Value","DR1TB12A.Value.Description","DR1TB12A.Count","DR1TB12A.Cumulative","DR1TB12A.Skip.to.Item"
"0 to 89.23","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
