"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"1.61 to 11700","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
