"AUXR1K1L.Code.or.Value","AUXR1K1L.Value.Description","AUXR1K1L.Count","AUXR1K1L.Cumulative","AUXR1K1L.Skip.to.Item"
"10 to 110","Range of Values",42,42,NA
"666","No response",1,43,NA
"888","Could not obtain",0,43,NA
".","Missing",4539,4582,NA
