"PAQ605.Code.or.Value","PAQ605.Value.Description","PAQ605.Count","PAQ605.Cumulative","PAQ605.Skip.to.Item"
"1","Yes",1389,1389,""
"2","No",4461,5850,"PAQ620"
"7","Refused",0,5850,"PAQ620"
"9","Don't know",6,5856,"PAQ620"
".","Missing",0,5856,""
