"URDUSNLC.Code.or.Value","URDUSNLC.Value.Description","URDUSNLC.Count","URDUSNLC.Cumulative","URDUSNLC.Skip.to.Item"
"0","At or above the detection limit",2268,2268,NA
"1","Below lower detection limit",260,2528,NA
".","Missing",77,2605,NA
