"CIQDPO.Code.or.Value","CIQDPO.Value.Description","CIQDPO.Count","CIQDPO.Cumulative","CIQDPO.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",2,5,NA
"7","Refuse",0,5,NA
"9","Don't know",0,5,NA
".","Missing",923,928,NA
