"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0 to 3200","Range of Values",1020,1020,NA
".","Missing",9233,10253,NA
