"LBDVDPLC.Code.or.Value","LBDVDPLC.Value.Description","LBDVDPLC.Count","LBDVDPLC.Cumulative","LBDVDPLC.Skip.to.Item"
"0","detectable result",2,2,NA
"1","below detectable limit",2838,2840,NA
"2","detectable result and exceeds the calibrated range of assay",0,2840,NA
".","Missing",575,3415,NA
