"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"3.4 to 10.4","Range of Values",6369,6369,NA
".","Missing",548,6917,NA
