"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above the detection limit",2408,2408,NA
"1","Below lower detection limit",96,2504,NA
".","Missing",90,2594,NA
