"SPAACC.Code.or.Value","SPAACC.Value.Description","SPAACC.Count","SPAACC.Cumulative","SPAACC.Skip.to.Item"
"Y","Yes",33828,33828,NA
"N","No",2593,36421,NA
"< blank >","Missing",0,36421,NA
