"DXAFMRD0.Code.or.Value","DXAFMRD0.Value.Description","DXAFMRD0.Count","DXAFMRD0.Cumulative","DXAFMRD0.Skip.to.Item"
"40.504 to 63.0186","Range of Values",6752,6752,NA
".","Missing",982,7734,NA
