"ENQ060.Code.or.Value","ENQ060.Value.Description","ENQ060.Count","ENQ060.Cumulative","ENQ060.Skip.to.Item"
"1","Yes",2997,2997,NA
"2","No",2558,5555,NA
"7","Refused",0,5555,NA
"9","Don't know",0,5555,NA
".","Missing",1940,7495,NA
