"DMDBORN.Code.or.Value","DMDBORN.Value.Description","DMDBORN.Count","DMDBORN.Cumulative","DMDBORN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",8069,8069,NA
"2","Born in Mexico",1146,9215,NA
"3","Born Elsewhere",737,9952,NA
"7","Refused",1,9953,NA
"9","Don't Know",1,9954,NA
".","Missing",11,9965,NA
