"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.5 to 1","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
