"OHAEXSTS.Code.or.Value","OHAEXSTS.Value.Description","OHAEXSTS.Count","OHAEXSTS.Cumulative","OHAEXSTS.Skip.to.Item"
"1","Completed",7072,7072,NA
"2","Partial",1200,8272,NA
"3","Not Done",575,8847,NA
".","Missing",0,8847,NA
