"FSQ653.Code.or.Value","FSQ653.Value.Description","FSQ653.Count","FSQ653.Cumulative","FSQ653.Skip.to.Item"
"1","Yes",873,873,""
"2","No",502,1375,"FSQ690"
"7","Refused",0,1375,"FSQ690"
"9","Don't know",1,1376,"FSQ690"
".","Missing",7878,9254,""
