"SSQ020h.Code.or.Value","SSQ020h.Value.Description","SSQ020h.Count","SSQ020h.Cumulative","SSQ020h.Skip.to.Item"
"17","Co-workers",10,10,NA
".","Missing",1824,1834,NA
