"AUXLR156.Code.or.Value","AUXLR156.Value.Description","AUXLR156.Count","AUXLR156.Cumulative","AUXLR156.Skip.to.Item"
"-12 to 47","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
