"MPQ120P.Code.or.Value","MPQ120P.Value.Description","MPQ120P.Count","MPQ120P.Cumulative","MPQ120P.Skip.to.Item"
"25","Buttocks - left",161,161,NA
".","Missing",4880,5041,NA
