"DS1TCOPP.Code.or.Value","DS1TCOPP.Value.Description","DS1TCOPP.Count","DS1TCOPP.Cumulative","DS1TCOPP.Skip.to.Item"
"0.004 to 8.8","Range of Values",849,849,NA
".","Missing",7855,8704,NA
