"SSII4NC2.Code.or.Value","SSII4NC2.Value.Description","SSII4NC2.Count","SSII4NC2.Cumulative","SSII4NC2.Skip.to.Item"
"0 to 100000","Range of Values",990,990,NA
".","Missing",46,1036,NA
