"RHQ340.Code.or.Value","RHQ340.Value.Description","RHQ340.Count","RHQ340.Cumulative","RHQ340.Skip.to.Item"
"26 to 67","Range of Values",21,21,NA
"777","Refused",0,21,NA
"999","Don't know",0,21,NA
".","Missing",3496,3517,NA
