"ECQ030.Code.or.Value","ECQ030.Value.Description","ECQ030.Count","ECQ030.Cumulative","ECQ030.Skip.to.Item"
"1","Yes",209,209,""
"2","No",315,524,"ECQ060"
"7","Refused",1,525,"ECQ060"
"9","Don't know",7,532,"ECQ060"
".","Missing",3389,3921,""
