"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 3.546","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
