"OPDDIRP.Code.or.Value","OPDDIRP.Value.Description","OPDDIRP.Count","OPDDIRP.Cumulative","OPDDIRP.Skip.to.Item"
"0","No",2954,2954,NA
"1","Yes",114,3068,NA
".","Missing",795,3863,NA
