"URXMTO.Code.or.Value","URXMTO.Value.Description","URXMTO.Count","URXMTO.Cumulative","URXMTO.Skip.to.Item"
"0.07 to 2.98","Range of Values",2455,2455,NA
".","Missing",157,2612,NA
