"FFQ0139D.Code.or.Value","FFQ0139D.Value.Description","FFQ0139D.Count","FFQ0139D.Cumulative","FFQ0139D.Skip.to.Item"
4,"Other",1719,1719,NA
88,"Blank",4753,6472,NA
99,"Error",0,6472,NA
