"DXDRAPF.Code.or.Value","DXDRAPF.Value.Description","DXDRAPF.Count","DXDRAPF.Cumulative","DXDRAPF.Skip.to.Item"
"11.1 to 66.8","Range of Values",4008,4008,NA
".","Missing",1106,5114,NA
