"LBDPFSAL.Code.or.Value","LBDPFSAL.Value.Description","LBDPFSAL.Count","LBDPFSAL.Cumulative","LBDPFSAL.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",2087,2100,NA
".","Missing",194,2294,NA
