"AUDTYR26.Code.or.Value","AUDTYR26.Value.Description","AUDTYR26.Count","AUDTYR26.Cumulative","AUDTYR26.Skip.to.Item"
"0 to 2.28","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
