"URXOP3.Code.or.Value","URXOP3.Value.Description","URXOP3.Count","URXOP3.Cumulative","URXOP3.Skip.to.Item"
"0.13 to 333600","Range of Values",1948,1948,NA
".","Missing",177,2125,NA
