"BIDPFAT.Code.or.Value","BIDPFAT.Value.Description","BIDPFAT.Count","BIDPFAT.Cumulative","BIDPFAT.Skip.to.Item"
"2.4 to 60.3","Range of Values",4504,4504,NA
".","Missing",1445,5949,NA
