"URXUSN.Code.or.Value","URXUSN.Value.Description","URXUSN.Count","URXUSN.Cumulative","URXUSN.Skip.to.Item"
"0.064 to 86.39","Range of Values",3060,3060,NA
".","Missing",219,3279,NA
