"VIQ150.Code.or.Value","VIQ150.Value.Description","VIQ150.Count","VIQ150.Cumulative","VIQ150.Skip.to.Item"
"1","Yes",1870,1870,""
"2","No",268,2138,"VIXNC1"
"9","Don't know",2,2140,""
".","Missing",4850,6990,""
