"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1130,1130,NA
"1","Below lower detection limit",1147,2277,NA
".","Missing",72,2349,NA
