"URDMU4LC.Code.or.Value","URDMU4LC.Value.Description","URDMU4LC.Count","URDMU4LC.Cumulative","URDMU4LC.Skip.to.Item"
"0","At or above detection limit",2335,2335,NA
"1","Below lower detection limit",63,2398,NA
".","Missing",107,2505,NA
