"CIQG21.Code.or.Value","CIQG21.Value.Description","CIQG21.Count","CIQG21.Cumulative","CIQG21.Skip.to.Item"
"7 to 36","Range of Values",24,24,NA
"77","Refused",1,25,NA
"99","Don't know",7,32,NA
".","Missing",746,778,NA
