"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"201 to 312","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
