"MCQ160K.Code.or.Value","MCQ160K.Value.Description","MCQ160K.Count","MCQ160K.Cumulative","MCQ160K.Skip.to.Item"
"1","Yes",299,299,"MCQ170K"
"2","No",4573,4872,""
"7","Refused",0,4872,""
"9","Don't know",8,4880,""
".","Missing",4613,9493,""
