"BIXC043K.Code.or.Value","BIXC043K.Value.Description","BIXC043K.Count","BIXC043K.Cumulative","BIXC043K.Skip.to.Item"
"24.36 to 111.25","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
