"DR1CCMNM.Code.or.Value","DR1CCMNM.Value.Description","DR1CCMNM.Count","DR1CCMNM.Cumulative","DR1CCMNM.Skip.to.Item"
"0 to 13","Range of Values",126503,126503,NA
".","Missing",0,126503,NA
