"AUXRR126.Code.or.Value","AUXRR126.Value.Description","AUXRR126.Count","AUXRR126.Cumulative","AUXRR126.Skip.to.Item"
"-77 to 65","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
