"OHDEXCLU.Code.or.Value","OHDEXCLU.Value.Description","OHDEXCLU.Count","OHDEXCLU.Cumulative","OHDEXCLU.Skip.to.Item"
"1","Yes",295,295,NA
"2","No",4742,5037,NA
".","Missing",0,5037,NA
